class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor,,
2023201,PRO3446,Logística e Cadeias de Suprimento,Leonardo Junqueira,2023-08-07,2023-12-21,producao-manual,qua,09:20,11:00,Produção,D1-01,1,,"qua, 09:20-11:00"
2023202,PRO3446,Logística e Cadeias de Suprimento,Hugo Tsugunobu Yoshida Yoshizaki,2023-08-07,2023-12-21,producao-manual,seg,09:20,11:00,Produção,D1-03,1,,"seg, 09:20-11:00"
2023202,PRO3446,Logística e Cadeias de Suprimento,Hugo Tsugunobu Yoshida Yoshizaki,2023-08-07,2023-12-21,producao-manual,qua,09:20,11:00,Produção,D1-03,1,,"qua, 09:20-11:00"
2023201,PRO3472,Gestão da Qualidade de Produtos e Processos,Fernando Tobal Berssaneti,2023-08-07,2023-12-21,producao-manual,seg,09:20,11:00 ,Produção,D1-02,1,,"seg, 09:20-11:00 "
2023201,PRO3472,Gestão da Qualidade de Produtos e Processos,Fernando Tobal Berssaneti,2023-08-07,2023-12-21,producao-manual, ter,07:30,09:10,Produção,D1-02,1,," ter, 07:30-09:10"
2023201,PRO3474,Projeto do Produto e Processo,Clóvis Armando Alvarenga Netto,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10 ,Produção,ON,1,,"seg, 07:30-09:10 "
2023201,PRO3474,Projeto do Produto e Processo,Clóvis Armando Alvarenga Netto,2023-08-07,2023-12-21,producao-manual,qua,07:30,09:10,Produção,ON,1,,"qua, 07:30-09:10"
2023201,PRO3480,Gestão Integrada de Cidades Inteligentes ,Marcelo Schneck de Paula Pessoa,2023-08-07,2023-12-21,producao-manual,seg,09:20,11:00 ,Produção,D2-015,2,,"seg, 09:20-11:00 "
2023201,PRO3483,Gestão Estratégica da Produção,Fernando José Barbin Laurindo,2023-08-07,2023-12-21,producao-manual,qui,07:30,11:00,Produção,D2-013,2,,"qui, 07:30-11:00"
2023201,PRO3518,Técnicas de Otimização Discreta para Problemas de Engenharia,Débora Pretti Ronconi,2023-08-07,2023-12-21,producao-manual,ter,11:10,12:50,Produção,D2-013,2,,"ter, 11:10-12:50"
2023201,PRO3518,Técnicas de Otimização Discreta para Problemas de Engenharia,Débora Pretti Ronconi,2023-08-07,2023-12-21,producao-manual,qui,11:10,12:50,Produção,D2-013,2,,"qui, 11:10-12:50"
